airline,code,aircraft,cost_index,notes,source
Aegean Airlines,-,A319/A320,20,,toga_pdf
Aegean Airlines,A3/AEE,A320,20,,fandom
Aegean Airlines,A3/AEE,A321,25,,toga_pdf+fandom
Aer Lingus,-,A319,5,retired,toga_pdf
Aer Lingus,-,A320,4,,toga_pdf
Aer Lingus,-,A321,6,,toga_pdf
Aer Lingus,-,A332,13,,toga_pdf
Aer Lingus,-,A333,16,,toga_pdf
Aer Lingus,-,B757,11,,toga_pdf
Aeroflot,SU/AFL,A32X,10-20,,toga_pdf
Aeroflot,SU/AFL,B763,60,,toga_pdf
Aerolineas Argentinas,AR/ARG,A332,30,,fandom
Aerolineas Argentinas,AR/ARG,B737,25,,toga_pdf+fandom
Aerolineas Argentinas,AR/ARG,B737,25,15 when flying EZE-BOG/BOG-EZE,fandom
Aerolineas Argentinas,AR/ARG,B738/B38M,20,,fandom
Aerologic,-,B77F,170,,toga_pdf
Aeromexico,-,B737,30,,toga_pdf
Aeromexico,-,B757,50,,toga_pdf
Aeromexico,-,B767,64,,toga_pdf
Aeromexico,-,MD80,44,,toga_pdf
Air Baltic,BT/BTI,B757,50,,toga_pdf
Air Baltic,BT/BTI,General,28,,toga_pdf
Air Berlin,-,A319,3,BHP HB-XXX,toga_pdf
Air Berlin,-,A319,6,BER D-XXXX,toga_pdf
Air Berlin,AB/BER,A319/BER,6,D-xxxx registered planes,fandom
Air Berlin,AB/BER,A319/BHP,3,HB-xxx registered planes,fandom
Air Berlin,-,A320,8,,toga_pdf
Air Berlin,AB/BER,A320/BER,8,D-xxxx registered planes,fandom
Air Berlin,AB/BER,A320/NLY,8,OE-xxx registered planes,fandom
Air Berlin,-,A321,7,NLY OE-XXX,toga_pdf
Air Berlin,-,A321,8,BER D-XXXX,toga_pdf
Air Berlin,AB/BER,A321/BER,8,D-xxxx registered planes,fandom
Air Berlin,AB/BER,A321/NLY,7,OE-xxx registered planes,fandom
Air Berlin,AB/BER,A332,80,,toga_pdf+fandom
Air Berlin,AB/BER,all,30,legacy page value,fandom
Air Berlin,-,B737 NG,8,,toga_pdf
Air Berlin,AB/BER,B737,8,,fandom
Air Berlin,AB/BER,B738,8,,fandom
Air Canada,AC/ACA,B767,100,,toga_pdf
Air France,AF/AFR,A320 domestic,0/17,climb/cruise,fandom
Air France,AF/AFR,delayed longhaul,135,,fandom
Air France,AF/AFR,delayed shorthaul,250,,fandom
Air France,-,La navette,150,ORY full-economy only; delayed flight CI 250,toga_pdf
Air France,-,Long haul,50,delayed flight CI 100-500,toga_pdf
Air France,AF/AFR,longhaul,45,,fandom
Air France,AF/AFR,short/medium haul,35,,fandom
Air France,-,Short/Medium haul,10,delayed flight CI 99-250,toga_pdf
