aircraft,fleet_count
A220-100,45
A220-300,112
A318,4
A319,138
A320,487
A320neo,366
A321,322
A321neo,320
A330-200,82
A330-300,163
A330-300F,2
A330-900neo,63
A350-900,147
A350-1000,22
A380-800,14
ATR 42-500,1
ATR 42-600,2
ATR 72-500,16
ATR 72-600,84
Bombardier CRJ-200,128
Bombardier CRJ-700,30
Bombardier CRJ-900,193
de Havilland DHC-8-200,4
de Havilland DHC-8-400,63
Embraer ERJ-170,32
Embraer ERJ-175,150
Embraer ERJ-190,129
Embraer ERJ-195,16
Embraer E195-E2,25
Saab 340,57
B717-200,82
B737-300,2
B737-500,1
B737-600,5
B737-700,111
B737-800,927
B737-800F,20
B737-8 MAX,272
B737-900,187
B737-9 MAX,30
B747-400F,20
B747-8,4
B747-8F,7
B757-200,76
B757-300,16
B767-300,47
B767-300F,22
B767-400,21
B777-200,39
B777-300,5
B777-300ER,179
B777-F,53
B787-8 Dreamliner,44
B787-9 Dreamliner,214
B787-10 Dreamliner,55
Beechcraft Super King Air 350i,36
Bombardier Challenger 300,3
Bombardier Challenger 600,1
Cessna Citation CJ3,2
Cessna Citation Excel,20
Cessna Citation X,27
Comac ARJ21 Xiangfeng,36
Comac C919,15
de Havilland Canada DHC-6 Twin Otter,1
Embraer Phenom 300,16
Embraer Legacy 500,2
Gulfstream G200,1
Learjet 60,1
Nextant 400XTI,33
